['76/150', '0.714428', '0.338592', '0.901188', '0.992698', '0.739837', '0.943502', '1.733581', '1.371164', '0.662500', '0.895500', '0.631200', '0.881300', '0:02:19']
['77/150', '0.711849', '0.339416', '0.901809', '0.992898', '0.743098', '0.943522', '1.653297', '1.300377', '0.670300', '0.898100', '0.642800', '0.887000', '0:02:18']
['78/150', '0.703523', '0.339254', '0.902409', '0.992898', '0.747559', '0.945002', '1.679007', '1.317797', '0.668700', '0.897400', '0.639000', '0.885600', '0:02:19']
['79/150', '0.697957', '0.336393', '0.902669', '0.992778', '0.744678', '0.945863', '1.667516', '1.300327', '0.669700', '0.899900', '0.634600', '0.883000', '0:02:19']
['80/150', '0.682710', '0.329759', '0.906990', '0.993318', '0.751601', '0.947703', '1.659059', '1.302807', '0.669300', '0.898900', '0.639400', '0.890800', '0:02:19']
['81/150', '0.670265', '0.325170', '0.906550', '0.993418', '0.754541', '0.948684', '1.610905', '1.268985', '0.674800', '0.902000', '0.641500', '0.889400', '0:02:19']
['82/150', '0.666715', '0.323244', '0.907270', '0.993838', '0.756982', '0.949464', '1.635196', '1.294230', '0.670900', '0.899300', '0.635100', '0.890100', '0:02:19']
['83/150', '0.655969', '0.315075', '0.910691', '0.993618', '0.759683', '0.951224', '1.594281', '1.269758', '0.673400', '0.905400', '0.642100', '0.893900', '0:02:19']
['84/150', '0.641632', '0.306582', '0.913212', '0.993458', '0.762224', '0.951545', '1.616053', '1.285810', '0.681400', '0.901400', '0.646200', '0.893600', '0:02:18']
['85/150', '0.636604', '0.306671', '0.913052', '0.994118', '0.765065', '0.952145', '1.628616', '1.286607', '0.673100', '0.901800', '0.636800', '0.891300', '0:02:19']
['86/150', '0.624382', '0.299530', '0.914353', '0.994358', '0.766825', '0.952845', '1.588001', '1.270843', '0.679900', '0.901200', '0.649200', '0.894300', '0:02:18']
['87/150', '0.609199', '0.290379', '0.917254', '0.994898', '0.773107', '0.956926', '1.576239', '1.257301', '0.679400', '0.900900', '0.646800', '0.893100', '0:02:19']
['88/150', '0.606879', '0.289657', '0.918074', '0.994658', '0.772807', '0.956806', '1.578722', '1.258084', '0.676200', '0.904500', '0.645900', '0.892200', '0:02:18']
