['109/150', '0.046471', '0.985775', '0.999560', '2.088868', '0.649200', '0.879300', '0:01:10']
['110/150', '0.045380', '0.986156', '0.999620', '2.122026', '0.651300', '0.880000', '0:01:10']
['111/150', '0.039820', '0.988196', '0.999820', '2.077110', '0.654100', '0.879700', '0:01:13']
['112/150', '0.039386', '0.988076', '0.999720', '2.098148', '0.653000', '0.877200', '0:01:07']
['113/150', '0.038586', '0.987936', '0.999700', '2.054772', '0.655900', '0.880200', '0:01:10']
['114/150', '0.035631', '0.989597', '0.999740', '2.105297', '0.656400', '0.880900', '0:01:11']
['115/150', '0.034007', '0.989737', '0.999760', '2.104780', '0.654200', '0.882600', '0:01:10']
['116/150', '0.033087', '0.990057', '0.999880', '2.121798', '0.654200', '0.879300', '0:01:10']
['117/150', '0.031285', '0.990357', '0.999840', '2.094192', '0.657500', '0.884000', '0:01:12']
['118/150', '0.027865', '0.992177', '0.999900', '2.095259', '0.659300', '0.883300', '0:01:08']
['119/150', '0.028015', '0.991677', '0.999860', '2.111848', '0.656100', '0.882000', '0:01:11']
['120/150', '0.026815', '0.991757', '0.999900', '2.119862', '0.656700', '0.881400', '0:01:11']
['121/150', '0.024019', '0.993118', '0.999920', '2.094048', '0.659400', '0.881500', '0:01:10']
['122/150', '0.023278', '0.993318', '0.999860', '2.059972', '0.658400', '0.882300', '0:01:10']
['123/150', '0.023830', '0.992858', '0.999940', '2.056992', '0.661300', '0.887700', '0:01:12']
['124/150', '0.021421', '0.994338', '0.999920', '2.052109', '0.661000', '0.885300', '0:01:09']
['125/150', '0.021478', '0.994018', '0.999860', '2.070876', '0.663600', '0.885100', '0:01:11']
['126/150', '0.019883', '0.994438', '0.999960', '2.052761', '0.664400', '0.888200', '0:01:10']
['127/150', '0.019312', '0.994378', '0.999940', '2.069112', '0.663900', '0.885800', '0:01:09']
['128/150', '0.018876', '0.994518', '0.999900', '2.056305', '0.664000', '0.886700', '0:01:14']
['129/150', '0.017449', '0.995178', '0.999900', '2.036821', '0.665000', '0.885500', '0:01:07']
['130/150', '0.016685', '0.995379', '0.999900', '2.083470', '0.665300', '0.887600', '0:01:10']
['131/150', '0.016120', '0.995319', '0.999940', '2.089700', '0.664900', '0.887700', '0:01:11']
['132/150', '0.016313', '0.995399', '0.999960', '2.083349', '0.666600', '0.888200', '0:01:10']
['133/150', '0.015318', '0.995779', '0.999960', '2.035936', '0.670600', '0.884700', '0:01:09']
['134/150', '0.015560', '0.995859', '0.999940', '2.069272', '0.666000', '0.887500', '0:01:12']
['135/150', '0.014297', '0.995759', '0.999940', '2.029269', '0.668600', '0.889000', '0:01:07']
