['62/150', '0.698735', '0.278832', '0.924036', '0.995799', '0.666413', '0.909511', '1.773700', '1.406615', '0.644000', '0.886900', '0.590800', '0.863500', '0:01:40']
['63/150', '0.700612', '0.278963', '0.924156', '0.995779', '0.667634', '0.911452', '1.797621', '1.435751', '0.644700', '0.882800', '0.592100', '0.857600', '0:01:37']
['64/150', '0.701497', '0.280488', '0.925616', '0.995359', '0.672155', '0.914893', '1.793110', '1.412624', '0.642800', '0.882400', '0.588800', '0.855100', '0:01:38']
['65/150', '0.710095', '0.285432', '0.924056', '0.995759', '0.674336', '0.915133', '1.738901', '1.369771', '0.655100', '0.887100', '0.603600', '0.866400', '0:01:39']
['66/150', '0.713369', '0.291106', '0.923656', '0.995198', '0.677877', '0.917734', '1.732310', '1.354178', '0.653900', '0.890000', '0.598000', '0.862900', '0:01:37']
['67/150', '0.716826', '0.294143', '0.921855', '0.995259', '0.679397', '0.915513', '1.740995', '1.367116', '0.647000', '0.887800', '0.598100', '0.863300', '0:01:38']
['68/150', '0.716035', '0.297610', '0.922115', '0.995779', '0.682118', '0.918454', '1.765764', '1.386761', '0.648000', '0.887000', '0.601200', '0.866000', '0:01:40']
['69/150', '0.720411', '0.302673', '0.919714', '0.995299', '0.686040', '0.920014', '1.708795', '1.335046', '0.651600', '0.890800', '0.609400', '0.873100', '0:01:37']
['70/150', '0.726536', '0.308780', '0.918974', '0.995499', '0.684739', '0.920455', '1.697796', '1.318686', '0.655400', '0.890200', '0.610700', '0.868900', '0:01:39']
['71/150', '0.730673', '0.313287', '0.918114', '0.995078', '0.689081', '0.921135', '1.686187', '1.312765', '0.656800', '0.890000', '0.608800', '0.865000', '0:01:37']
['72/150', '0.729825', '0.315483', '0.917033', '0.995098', '0.691181', '0.921955', '1.688994', '1.323588', '0.659000', '0.890000', '0.610300', '0.870000', '0:01:38']
['73/150', '0.736761', '0.325124', '0.913672', '0.994238', '0.693182', '0.921095', '1.678717', '1.306035', '0.658900', '0.893600', '0.610000', '0.867300', '0:01:40']
['74/150', '0.735324', '0.324552', '0.915513', '0.995138', '0.697583', '0.923736', '1.686891', '1.316026', '0.656200', '0.889800', '0.611500', '0.867800', '0:01:37']
['75/150', '0.739574', '0.330125', '0.911892', '0.994738', '0.699344', '0.924976', '1.666706', '1.295950', '0.655100', '0.893000', '0.608500', '0.871500', '0:01:38']
['76/150', '0.736793', '0.330293', '0.914633', '0.994798', '0.702505', '0.925516', '1.652396', '1.289170', '0.660600', '0.894300', '0.614100', '0.873000', '0:01:40']
['77/150', '0.733412', '0.332528', '0.912972', '0.994498', '0.706826', '0.928997', '1.666563', '1.294418', '0.654800', '0.894600', '0.611700', '0.867900', '0:01:37']
['78/150', '0.729344', '0.336540', '0.910912', '0.994538', '0.709507', '0.926977', '1.629637', '1.271564', '0.665700', '0.893900', '0.614200', '0.872400', '0:01:38']
['79/150', '0.720627', '0.333310', '0.912892', '0.994998', '0.708747', '0.928117', '1.643516', '1.284465', '0.659000', '0.892500', '0.614600', '0.872800', '0:01:40']
['80/150', '0.710130', '0.328322', '0.913672', '0.995278', '0.712748', '0.930298', '1.587745', '1.252092', '0.664300', '0.897400', '0.622300', '0.873200', '0:01:37']
['81/150', '0.702245', '0.326534', '0.914373', '0.995259', '0.713188', '0.930678', '1.596523', '1.263968', '0.660700', '0.896500', '0.623800', '0.877100', '0:01:39']
['82/150', '0.688941', '0.317425', '0.918894', '0.995479', '0.716509', '0.933499', '1.584566', '1.249470', '0.668700', '0.896400', '0.620500', '0.876800', '0:01:39']
['83/150', '0.685701', '0.320492', '0.915993', '0.995359', '0.718550', '0.931618', '1.574045', '1.241188', '0.667600', '0.898800', '0.625600', '0.875500', '0:01:36']
['84/150', '0.679044', '0.316107', '0.919234', '0.995499', '0.720130', '0.933939', '1.549930', '1.232371', '0.666800', '0.900400', '0.634800', '0.879100', '0:01:40']
['85/150', '0.674880', '0.313747', '0.918714', '0.995459', '0.721951', '0.933519', '1.567279', '1.236512', '0.674400', '0.898000', '0.630000', '0.881200', '0:01:37']
['86/150', '0.664161', '0.311485', '0.919734', '0.994858', '0.726973', '0.935039', '1.557140', '1.225795', '0.670800', '0.899200', '0.627400', '0.878800', '0:01:38']
['87/150', '0.657484', '0.308758', '0.919854', '0.995579', '0.728233', '0.935419', '1.564579', '1.239372', '0.673000', '0.897300', '0.627000', '0.878300', '0:01:40']
['88/150', '0.655311', '0.304795', '0.921535', '0.995539', '0.727133', '0.936060', '1.554522', '1.235372', '0.672300', '0.900000', '0.629600', '0.879400', '0:01:37']
['89/150', '0.643540', '0.300634', '0.923135', '0.996539', '0.731774', '0.938920', '1.552156', '1.234152', '0.672700', '0.897300', '0.627500', '0.875800', '0:01:38']
['90/150', '0.636585', '0.296951', '0.924096', '0.996099', '0.733755', '0.938020', '1.557381', '1.241118', '0.671100', '0.899300', '0.631800', '0.877100', '0:01:40']
['91/150', '0.628787', '0.291989', '0.924896', '0.996179', '0.737376', '0.937820', '1.522846', '1.221747', '0.674400', '0.900500', '0.636300', '0.882100', '0:01:37']
['92/150', '0.624786', '0.292279', '0.924596', '0.996459', '0.736596', '0.938780', '1.539445', '1.236428', '0.670400', '0.898200', '0.632000', '0.877600', '0:01:38']
['93/150', '0.619857', '0.289886', '0.926256', '0.996499', '0.738476', '0.939441', '1.550707', '1.251933', '0.669700', '0.896700', '0.633400', '0.878700', '0:01:40']
['94/150', '0.608979', '0.284153', '0.927977', '0.996639', '0.743178', '0.941881', '1.520362', '1.225046', '0.673200', '0.900800', '0.634400', '0.879800', '0:01:37']
['95/150', '0.601842', '0.280832', '0.926837', '0.996559', '0.744598', '0.941861', '1.539857', '1.235803', '0.672200', '0.899200', '0.636600', '0.881000', '0:01:40']
['96/150', '0.597663', '0.278572', '0.928877', '0.996519', '0.746279', '0.941541', '1.530023', '1.230603', '0.674200', '0.901000', '0.633300', '0.878000', '0:01:39']
['97/150', '0.585971', '0.271945', '0.932238', '0.997259', '0.749500', '0.943782', '1.523858', '1.227235', '0.674700', '0.901700', '0.629100', '0.877400', '0:01:36']
['98/150', '0.582460', '0.272813', '0.930498', '0.996539', '0.751761', '0.943342', '1.515295', '1.218742', '0.675600', '0.903700', '0.632200', '0.881200', '0:01:40']
['99/150', '0.578404', '0.267520', '0.932598', '0.997519', '0.751701', '0.943682', '1.505581', '1.210467', '0.681600', '0.904600', '0.636400', '0.882400', '0:01:37']
['100/150', '0.570786', '0.263794', '0.934799', '0.997179', '0.754822', '0.945803', '1.507430', '1.218280', '0.677300', '0.903400', '0.639600', '0.880900', '0:01:37']
['101/150', '0.564904', '0.264008', '0.934079', '0.996859', '0.757022', '0.946303', '1.511268', '1.219035', '0.680100', '0.901900', '0.640000', '0.882600', '0:01:40']
['102/150', '0.559952', '0.260941', '0.934219', '0.997219', '0.759863', '0.946003', '1.504726', '1.219445', '0.675400', '0.903600', '0.637600', '0.882200', '0:01:37']
['103/150', '0.554407', '0.257387', '0.936200', '0.997279', '0.761184', '0.947383', '1.483856', '1.208815', '0.681900', '0.905500', '0.642500', '0.882400', '0:01:38']
['104/150', '0.550818', '0.256298', '0.935599', '0.997519', '0.760783', '0.946543', '1.491555', '1.213123', '0.678500', '0.902500', '0.637500', '0.884600', '0:01:39']
['105/150', '0.549416', '0.255321', '0.938040', '0.997099', '0.762864', '0.947883', '1.475899', '1.200029', '0.681700', '0.907800', '0.642200', '0.885000', '0:01:37']
['106/150', '0.542300', '0.251858', '0.937460', '0.997239', '0.765445', '0.948323', '1.485074', '1.207793', '0.679300', '0.904000', '0.642800', '0.883900', '0:01:38']
['107/150', '0.538091', '0.249399', '0.939741', '0.997399', '0.765945', '0.949084', '1.455940', '1.183595', '0.683000', '0.904400', '0.642600', '0.887300', '0:01:40']
['108/150', '0.532563', '0.247049', '0.939021', '0.997679', '0.766405', '0.950164', '1.469926', '1.199054', '0.683400', '0.904700', '0.643400', '0.885900', '0:01:37']
['109/150', '0.523681', '0.242165', '0.941181', '0.997679', '0.770867', '0.950964', '1.471615', '1.202000', '0.684000', '0.907100', '0.641300', '0.884600', '0:01:40']
['110/150', '0.519736', '0.241210', '0.940121', '0.997939', '0.770487', '0.951124', '1.456086', '1.193004', '0.684900', '0.905300', '0.644700', '0.884700', '0:01:37']
['111/150', '0.512582', '0.238506', '0.940101', '0.998079', '0.776048', '0.952105', '1.456399', '1.189082', '0.687500', '0.906100', '0.646600', '0.887000', '0:01:38']
['112/150', '0.509653', '0.237125', '0.941861', '0.997939', '0.774868', '0.953285', '1.463690', '1.196357', '0.683100', '0.907600', '0.644700', '0.888300', '0:01:39']
['113/150', '0.507236', '0.234490', '0.943582', '0.997799', '0.778329', '0.951424', '1.431842', '1.173723', '0.686400', '0.910500', '0.647900', '0.888300', '0:01:38']
['114/150', '0.503062', '0.233568', '0.943082', '0.997559', '0.778309', '0.954325', '1.447759', '1.189684', '0.684000', '0.908300', '0.650800', '0.889400', '0:01:37']
['115/150', '0.495414', '0.227569', '0.945743', '0.998099', '0.779129', '0.954305', '1.444950', '1.189750', '0.686000', '0.908200', '0.648300', '0.888400', '0:01:40']
['116/150', '0.492851', '0.225989', '0.946083', '0.998299', '0.780790', '0.954605', '1.451235', '1.196910', '0.682600', '0.907100', '0.650400', '0.887000', '0:01:37']
['117/150', '0.490880', '0.229739', '0.944662', '0.998159', '0.781330', '0.954285', '1.428228', '1.177335', '0.687400', '0.910200', '0.649800', '0.889500', '0:01:38']
['118/150', '0.485667', '0.224606', '0.946323', '0.998179', '0.782530', '0.955926', '1.453334', '1.197418', '0.683800', '0.908300', '0.647600', '0.886900', '0:01:40']
['119/150', '0.479679', '0.223368', '0.945903', '0.998460', '0.787072', '0.955666', '1.435046', '1.184039', '0.688500', '0.907900', '0.647400', '0.889300', '0:01:37']
['120/150', '0.480666', '0.224445', '0.944882', '0.998159', '0.785992', '0.955086', '1.432254', '1.179665', '0.687300', '0.908500', '0.647900', '0.890300', '0:01:38']
['121/150', '0.473913', '0.220332', '0.946423', '0.998439', '0.787212', '0.956446', '1.438270', '1.184914', '0.686100', '0.909500', '0.646700', '0.888500', '0:01:39']
['122/150', '0.470098', '0.216799', '0.948584', '0.998379', '0.790193', '0.956626', '1.439703', '1.187626', '0.688000', '0.908100', '0.648700', '0.888600', '0:01:37']
['123/150', '0.465545', '0.215363', '0.947363', '0.998439', '0.790333', '0.957406', '1.438304', '1.183094', '0.685100', '0.911500', '0.644100', '0.887200', '0:01:41']
['124/150', '0.461926', '0.212705', '0.949104', '0.998500', '0.793314', '0.957726', '1.426707', '1.176586', '0.689000', '0.910300', '0.649400', '0.891000', '0:01:37']
['125/150', '0.460946', '0.213322', '0.948844', '0.998600', '0.793114', '0.957266', '1.425924', '1.179358', '0.688600', '0.909600', '0.650500', '0.890100', '0:01:38']
['126/150', '0.461959', '0.215271', '0.948484', '0.998439', '0.792934', '0.957807', '1.416800', '1.171364', '0.690900', '0.910400', '0.649000', '0.891200', '0:01:40']
['127/150', '0.455285', '0.211412', '0.949844', '0.998540', '0.795134', '0.956926', '1.425959', '1.180268', '0.687500', '0.909200', '0.649400', '0.888400', '0:01:37']
['128/150', '0.455682', '0.212397', '0.950164', '0.998059', '0.794914', '0.958347', '1.420238', '1.173824', '0.690800', '0.908500', '0.650500', '0.889700', '0:01:38']
['129/150', '0.447696', '0.207303', '0.952145', '0.998520', '0.796575', '0.958227', '1.426852', '1.184182', '0.689300', '0.909500', '0.647600', '0.888600', '0:01:40']
['130/150', '0.449768', '0.206941', '0.950804', '0.998540', '0.797515', '0.957907', '1.427299', '1.181751', '0.690600', '0.909300', '0.652300', '0.889000', '0:01:38']
['131/150', '0.444433', '0.205772', '0.951144', '0.998480', '0.800956', '0.959367', '1.408070', '1.166493', '0.691000', '0.911100', '0.652800', '0.889900', '0:01:38']
['132/150', '0.447687', '0.207031', '0.950544', '0.998420', '0.797155', '0.959867', '1.420580', '1.179164', '0.689500', '0.908800', '0.651700', '0.889100', '0:01:39']
['133/150', '0.442156', '0.206698', '0.950824', '0.998580', '0.798876', '0.959467', '1.420379', '1.178923', '0.689400', '0.909400', '0.650900', '0.889000', '0:01:37']
['134/150', '0.443018', '0.203972', '0.952125', '0.998920', '0.799016', '0.959767', '1.411573', '1.172573', '0.692200', '0.909900', '0.651000', '0.889100', '0:01:38']
['135/150', '0.440057', '0.205046', '0.951264', '0.998660', '0.801016', '0.961088', '1.423693', '1.180367', '0.688500', '0.910700', '0.650200', '0.888000', '0:01:40']
['136/150', '0.435026', '0.202811', '0.950844', '0.998500', '0.801396', '0.961308', '1.406609', '1.168245', '0.692600', '0.910200', '0.652200', '0.890000', '0:01:36']
['137/150', '0.436309', '0.203319', '0.950944', '0.998780', '0.801016', '0.960787', '1.423348', '1.181135', '0.689500', '0.910500', '0.650600', '0.887400', '0:01:40']
['138/150', '0.434302', '0.202644', '0.952025', '0.998720', '0.802577', '0.960047', '1.412489', '1.173624', '0.689000', '0.911700', '0.651300', '0.890700', '0:01:37']
['139/150', '0.435088', '0.202962', '0.951745', '0.998780', '0.802017', '0.960627', '1.418158', '1.179707', '0.689400', '0.910800', '0.650600', '0.888700', '0:01:38']
['140/150', '0.431784', '0.200630', '0.952765', '0.998680', '0.803657', '0.960767', '1.408013', '1.171813', '0.692200', '0.910600', '0.652800', '0.890400', '0:01:40']
['141/150', '0.429349', '0.199442', '0.953985', '0.998660', '0.805498', '0.960267', '1.420497', '1.182045', '0.688600', '0.909600', '0.650400', '0.887900', '0:01:37']
['142/150', '0.430502', '0.199875', '0.953425', '0.998740', '0.804758', '0.960407', '1.407859', '1.171576', '0.691600', '0.910200', '0.650600', '0.890500', '0:01:37']
['143/150', '0.432433', '0.199543', '0.954245', '0.998760', '0.803557', '0.960807', '1.409720', '1.173015', '0.690900', '0.911100', '0.653100', '0.890500', '0:01:40']
['144/150', '0.430503', '0.199622', '0.951524', '0.998740', '0.803157', '0.960807', '1.412938', '1.176941', '0.691100', '0.910000', '0.651900', '0.889300', '0:01:37']
['145/150', '0.427148', '0.197583', '0.953545', '0.999000', '0.804617', '0.961508', '1.406186', '1.169266', '0.692200', '0.910900', '0.654800', '0.890700', '0:01:38']
['146/150', '0.428991', '0.200125', '0.953025', '0.998700', '0.805658', '0.960067', '1.417563', '1.179846', '0.689600', '0.909800', '0.648400', '0.888800', '0:01:40']
['147/150', '0.428371', '0.199355', '0.953985', '0.998700', '0.805238', '0.960867', '1.398863', '1.164436', '0.692300', '0.911800', '0.653300', '0.892000', '0:01:37']
['148/150', '0.430022', '0.199153', '0.952805', '0.998820', '0.804798', '0.960948', '1.413388', '1.175912', '0.689900', '0.910200', '0.652300', '0.891300', '0:01:39']
['149/150', '0.429312', '0.200597', '0.953645', '0.998580', '0.807138', '0.959867', '1.413506', '1.174833', '0.692200', '0.909000', '0.652000', '0.889200', '0:01:39']
['150/150', '0.428770', '0.199569', '0.953445', '0.998740', '0.805878', '0.960367', '1.407892', '1.171521', '0.691700', '0.909900', '0.652600', '0.890300', '0:01:36']
