['119/150', '0.077155', '0.046105', '0.986127', '0.999658', '0.972656', '0.999336', '2.533459', '2.237303', '0.639900', '0.872700', '0.614700', '0.859100', '0:00:47']
['120/150', '0.076363', '0.044367', '0.986731', '0.999718', '0.971509', '0.999315', '2.765189', '2.222317', '0.639100', '0.874600', '0.602500', '0.856700', '0:00:46']
['121/150', '0.070659', '0.041237', '0.988221', '0.999799', '0.973341', '0.999376', '3.087211', '2.228715', '0.640000', '0.874100', '0.570600', '0.827500', '0:00:47']
['122/150', '0.068753', '0.040038', '0.988583', '0.999819', '0.974871', '0.999235', '2.962729', '2.221024', '0.640100', '0.873600', '0.583000', '0.848500', '0:00:46']
['123/150', '0.067118', '0.038922', '0.988704', '0.999738', '0.975012', '0.999174', '3.069089', '2.241603', '0.641700', '0.874600', '0.573500', '0.827500', '0:00:47']
['124/150', '0.066256', '0.038587', '0.988120', '0.999819', '0.975395', '0.999476', '2.902876', '2.222461', '0.641400', '0.875500', '0.595100', '0.843400', '0:00:47']
['125/150', '0.063252', '0.037838', '0.989207', '0.999799', '0.976683', '0.999517', '2.815164', '2.202823', '0.643700', '0.877900', '0.602400', '0.847500', '0:00:46']
['126/150', '0.060894', '0.035912', '0.989006', '0.999859', '0.976562', '0.999215', '3.163247', '2.223379', '0.645800', '0.876200', '0.578800', '0.837200', '0:00:47']
['127/150', '0.059580', '0.035157', '0.989952', '0.999718', '0.978153', '0.999336', '2.473395', '2.228934', '0.645400', '0.875400', '0.624600', '0.865700', '0:00:46']
['128/150', '0.056638', '0.033074', '0.991100', '0.999758', '0.978636', '0.999376', '2.657484', '2.201148', '0.647200', '0.876400', '0.598100', '0.845200', '0:00:47']
['129/150', '0.053440', '0.031414', '0.991241', '0.999879', '0.980811', '0.999658', '2.614395', '2.184507', '0.648000', '0.878800', '0.616600', '0.860900', '0:00:46']
['130/150', '0.051176', '0.030464', '0.991483', '0.999859', '0.980549', '0.999557', '2.734143', '2.201160', '0.647600', '0.876900', '0.608900', '0.853900', '0:00:46']
['131/150', '0.053243', '0.031190', '0.991422', '0.999859', '0.980509', '0.999517', '2.479364', '2.200204', '0.648400', '0.878300', '0.623700', '0.863700', '0:00:46']
['132/150', '0.049538', '0.028752', '0.991604', '0.999899', '0.981335', '0.999678', '2.934314', '2.190441', '0.650100', '0.878800', '0.599000', '0.858200', '0:00:46']
['133/150', '0.047897', '0.028823', '0.992047', '0.999839', '0.982361', '0.999476', '2.411642', '2.196041', '0.649500', '0.877500', '0.624900', '0.868500', '0:00:46']
['134/150', '0.046613', '0.027058', '0.992490', '0.999839', '0.981757', '0.999597', '2.879390', '2.196584', '0.646700', '0.876600', '0.593500', '0.848700', '0:00:46']
['135/150', '0.045899', '0.027279', '0.992167', '0.999839', '0.982845', '0.999617', '2.706429', '2.193762', '0.648200', '0.878300', '0.614300', '0.861400', '0:00:46']
['136/150', '0.045185', '0.026665', '0.992550', '0.999940', '0.982361', '0.999617', '2.531871', '2.206175', '0.647600', '0.876600', '0.623800', '0.864500', '0:00:46']
['137/150', '0.042128', '0.024633', '0.993194', '0.999919', '0.984214', '0.999698', '2.460516', '2.214673', '0.646900', '0.878400', '0.625600', '0.865900', '0:00:46']
['138/150', '0.042873', '0.025378', '0.993073', '0.999919', '0.983771', '0.999678', '2.421732', '2.207028', '0.648100', '0.878600', '0.627700', '0.866500', '0:00:46']
