['89/150', '0.307543', '0.185385', '0.939916', '0.997181', '0.898377', '0.993154', '3.745273', '3.120366', '0.585600', '0.835800', '0.543900', '0.816700', '0:00:47']
['90/150', '0.300442', '0.179758', '0.942796', '0.997503', '0.901881', '0.993516', '3.819784', '3.017469', '0.599200', '0.850900', '0.537100', '0.815900', '0:00:47']
['91/150', '0.336876', '0.207604', '0.933453', '0.995772', '0.891491', '0.991181', '7.216024', '2.779050', '0.570700', '0.835700', '0.168600', '0.390200', '0:00:47']
['92/150', '0.355431', '0.226243', '0.929325', '0.994906', '0.886477', '0.990295', '2.609684', '2.220195', '0.601500', '0.850000', '0.572200', '0.833400', '0:00:47']
['93/150', '0.282620', '0.167561', '0.947447', '0.996798', '0.907055', '0.993335', '2.719544', '2.140635', '0.610300', '0.855700', '0.562600', '0.828900', '0:00:47']
['94/150', '0.263367', '0.153965', '0.952601', '0.996960', '0.914224', '0.993798', '4.208135', '2.311949', '0.601400', '0.849000', '0.462700', '0.730600', '0:00:47']
['95/150', '0.256512', '0.148896', '0.953991', '0.997080', '0.914787', '0.993980', '2.879271', '2.381804', '0.599700', '0.848200', '0.553200', '0.819900', '0:00:47']
['96/150', '0.250650', '0.142739', '0.955340', '0.997986', '0.915512', '0.994845', '2.999641', '2.286702', '0.602900', '0.851100', '0.548700', '0.822800', '0:00:47']
['97/150', '0.241970', '0.137954', '0.957152', '0.997705', '0.920345', '0.995308', '3.583563', '2.722431', '0.593400', '0.848300', '0.545100', '0.827200', '0:00:47']
['98/150', '0.262357', '0.155331', '0.951232', '0.997201', '0.916237', '0.994342', '4.058445', '2.548510', '0.596400', '0.846500', '0.466400', '0.758800', '0:00:47']
['99/150', '0.313873', '0.192177', '0.938990', '0.995590', '0.896968', '0.991302', '5.072700', '4.376256', '0.608600', '0.854200', '0.554800', '0.825800', '0:00:47']
['100/150', '0.231174', '0.130174', '0.960656', '0.997382', '0.924372', '0.994865', '3.724873', '2.790112', '0.601700', '0.855900', '0.515300', '0.787700', '0:00:47']
['101/150', '0.227509', '0.125078', '0.962327', '0.997866', '0.925781', '0.995288', '4.184143', '3.018995', '0.603000', '0.855500', '0.501100', '0.785500', '0:00:47']
['102/150', '0.212938', '0.119981', '0.963515', '0.997946', '0.931318', '0.995912', '4.282019', '2.877414', '0.590200', '0.845800', '0.468700', '0.751600', '0:00:47']
['103/150', '0.205466', '0.112428', '0.965830', '0.998208', '0.935245', '0.996396', '3.258088', '2.639060', '0.607600', '0.857700', '0.563700', '0.834000', '0:00:47']
['104/150', '0.209044', '0.115953', '0.964884', '0.998087', '0.933010', '0.996074', '5.154982', '3.404171', '0.599200', '0.849300', '0.395600', '0.702700', '0:00:47']
['105/150', '0.212375', '0.116475', '0.964079', '0.997986', '0.932728', '0.995832', '6.605291', '2.629252', '0.596600', '0.852300', '0.262700', '0.534500', '0:00:47']
['106/150', '0.194815', '0.106803', '0.967743', '0.998369', '0.937440', '0.996376', '3.698141', '2.938900', '0.605400', '0.854700', '0.541800', '0.808700', '0:00:47']
['107/150', '0.181482', '0.095326', '0.971025', '0.998288', '0.943661', '0.996476', '5.245120', '4.315899', '0.605100', '0.852100', '0.546600', '0.818800', '0:00:47']
['108/150', '0.171806', '0.088902', '0.973039', '0.998872', '0.944064', '0.997443', '5.449665', '3.075107', '0.602700', '0.855500', '0.432300', '0.736400', '0:00:47']
['109/150', '0.172252', '0.092084', '0.972415', '0.998832', '0.944910', '0.997121', '7.166572', '5.975302', '0.609100', '0.858300', '0.491500', '0.780200', '0:00:47']
['110/150', '0.167445', '0.085391', '0.974650', '0.998611', '0.945836', '0.997302', '4.763213', '3.788281', '0.609200', '0.856900', '0.536300', '0.823700', '0:00:47']
['111/150', '0.170531', '0.090309', '0.971851', '0.998933', '0.945091', '0.997382', '3.720602', '3.259281', '0.608200', '0.856600', '0.573900', '0.832200', '0:00:47']
['112/150', '0.154924', '0.079704', '0.976079', '0.998993', '0.951152', '0.997543', '3.452243', '2.943025', '0.607100', '0.856200', '0.579300', '0.843500', '0:00:47']
['113/150', '0.146142', '0.074340', '0.977710', '0.999094', '0.953649', '0.997644', '4.730128', '3.031337', '0.611700', '0.858000', '0.460000', '0.757900', '0:00:47']
