['73/150', '0.983425', '0.488688', '0.860180', '0.987154', '0.619986', '0.883396', '2.818654', '1.936817', '0.547400', '0.821100', '0.552500', '0.839400', '0:00:38']
['74/150', '0.952572', '0.464328', '0.869664', '0.989308', '0.627074', '0.889457', '1.922092', '1.394688', '0.630800', '0.877000', '0.572300', '0.845300', '0:00:38']
['75/150', '0.933966', '0.456375', '0.870147', '0.990557', '0.635007', '0.891370', '2.034988', '1.483552', '0.611000', '0.866400', '0.551000', '0.831600', '0:00:37']
['76/150', '0.932929', '0.457632', '0.869382', '0.990335', '0.635772', '0.893283', '1.906763', '1.429628', '0.628100', '0.876300', '0.566500', '0.842400', '0:00:37']
['77/150', '0.936327', '0.467353', '0.866503', '0.990234', '0.635068', '0.893081', '1.893355', '1.388289', '0.633800', '0.876900', '0.572900', '0.853900', '0:00:37']
['78/150', '0.923831', '0.463667', '0.868677', '0.989771', '0.637061', '0.894652', '1.991759', '1.444993', '0.619400', '0.873200', '0.563900', '0.848800', '0:00:37']
['79/150', '0.919225', '0.469732', '0.868516', '0.990577', '0.644028', '0.895236', '3.562343', '2.313787', '0.511000', '0.794100', '0.540100', '0.829300', '0:00:37']
['80/150', '0.911205', '0.463078', '0.869402', '0.990234', '0.642598', '0.895921', '1.995290', '1.483580', '0.612600', '0.866700', '0.539500', '0.831100', '0:00:37']
['81/150', '0.879070', '0.441584', '0.874617', '0.992167', '0.649545', '0.899585', '1.784440', '1.322616', '0.640400', '0.882800', '0.567800', '0.844900', '0:00:38']
['82/150', '0.872401', '0.440896', '0.876309', '0.990919', '0.648639', '0.900411', '1.832078', '1.380298', '0.632700', '0.880100', '0.576900', '0.855600', '0:00:37']
['83/150', '0.867579', '0.440460', '0.876913', '0.991583', '0.653230', '0.901035', '1.802502', '1.360342', '0.639800', '0.883100', '0.574500', '0.850400', '0:00:38']
['84/150', '0.859101', '0.438852', '0.876873', '0.991765', '0.655606', '0.901599', '1.901933', '1.341529', '0.642700', '0.883400', '0.551900', '0.833800', '0:00:37']
['85/150', '0.837690', '0.425136', '0.883618', '0.992026', '0.659250', '0.904156', '1.758150', '1.302485', '0.648100', '0.889000', '0.577000', '0.857100', '0:00:38']
['86/150', '0.834806', '0.426165', '0.883900', '0.991966', '0.659210', '0.905867', '1.932479', '1.436180', '0.625700', '0.871800', '0.542500', '0.826800', '0:00:37']
['87/150', '0.822871', '0.417297', '0.883980', '0.992812', '0.662995', '0.904679', '1.747227', '1.326375', '0.645300', '0.882500', '0.575600', '0.853400', '0:00:37']
['88/150', '0.809562', '0.413428', '0.885692', '0.992389', '0.664546', '0.907076', '1.930342', '1.417094', '0.623400', '0.875700', '0.569500', '0.849600', '0:00:37']
['89/150', '0.800319', '0.406184', '0.886658', '0.992973', '0.669922', '0.909552', '1.744565', '1.290891', '0.649400', '0.891900', '0.575500', '0.856400', '0:00:37']
['90/150', '0.790324', '0.401666', '0.890867', '0.992892', '0.671935', '0.909512', '1.684578', '1.307994', '0.644200', '0.891100', '0.599900', '0.867900', '0:00:37']
['91/150', '0.780939', '0.396422', '0.891108', '0.993315', '0.670727', '0.910438', '1.851417', '1.360644', '0.640600', '0.887700', '0.566900', '0.847100', '0:00:37']
['92/150', '0.784645', '0.402416', '0.890524', '0.993094', '0.676566', '0.909774', '1.699458', '1.315224', '0.644800', '0.884600', '0.596600', '0.863900', '0:00:37']
['93/150', '0.765839', '0.386615', '0.893927', '0.994443', '0.677513', '0.912371', '1.708367', '1.316669', '0.647300', '0.891500', '0.595100', '0.866200', '0:00:43']
['94/150', '0.771526', '0.393312', '0.893625', '0.993516', '0.674251', '0.910458', '1.777098', '1.318581', '0.644000', '0.888200', '0.585700', '0.863700', '0:00:37']
['95/150', '0.751187', '0.380439', '0.898256', '0.994000', '0.684943', '0.914244', '1.830259', '1.378398', '0.635600', '0.881700', '0.582500', '0.858700', '0:00:38']
['96/150', '0.742467', '0.377041', '0.897592', '0.994302', '0.683876', '0.914083', '1.664170', '1.279131', '0.655600', '0.894000', '0.589300', '0.856700', '0:00:37']
['97/150', '0.724301', '0.364689', '0.903411', '0.995047', '0.691265', '0.916861', '1.713317', '1.319393', '0.644600', '0.893900', '0.581300', '0.860200', '0:00:37']
['98/150', '0.720813', '0.363721', '0.901881', '0.995067', '0.690722', '0.917324', '1.692129', '1.313621', '0.649900', '0.892700', '0.591000', '0.856900', '0:00:38']
